Address,Price,Days on Market,Agent,Office,Neighborhood
"5822 Wickover Lane
4 bed • 3 baths  •     2,654 bldg. sqft.
•                              5                     Ruben Villarreal
RE/MAX Integrity","$ 169,990",5,Ruben Villarreal,RE/MAX Integrity,NorthWest Park place
"5822 Wickover Lane
4 bed • 3 baths  •     2,654 bldg. sqft.
•                              5                     Ruben Villarreal
RE/MAX Integrity","$ 169,990",5,Ruben Villarreal,RE/MAX Integrity,NorthWest Park place
"5822 Wickover Lane
4 bed • 3 baths  •     2,654 bldg. sqft.
•                              5                     Ruben Villarreal
RE/MAX Integrity","$ 169,990",5,Ruben Villarreal,RE/MAX Integrity,NorthWest Park place
"5822 Wickover Lane
4 bed • 3 baths  •     2,654 bldg. sqft.
•                              5                     Ruben Villarreal
RE/MAX Integrity","$ 169,990",5,Ruben Villarreal,RE/MAX Integrity,NorthWest Park place
"11918 Galentine Point
4 bed • 2 baths & 1 halfs •     2,325 bldg. sqft.
•                              6                     Amjad Mushtaq
Fast Homes","$ 289,900",173,Amjad Mushtaq,Fast Homes,lismore lake estates
"11918 Galentine Point
4 bed • 2 baths & 1 halfs •     2,325 bldg. sqft.
•                              6                     Amjad Mushtaq
Fast Homes","$ 289,900",173,Amjad Mushtaq,Fast Homes,lismore lake estates
"11918 Galentine Point
4 bed • 2 baths & 1 halfs •     2,325 bldg. sqft.
•                              6                     Amjad Mushtaq
Fast Homes","$ 289,900",173,Amjad Mushtaq,Fast Homes,lismore lake estates
"11918 Galentine Point
4 bed • 2 baths & 1 halfs •     2,325 bldg. sqft.
•                              6                     Amjad Mushtaq
Fast Homes","$ 289,900",173,Amjad Mushtaq,Fast Homes,lismore lake estates
"13618 Pegasus Road
4 bed • 3 baths & 1 halfs •     4,394 bldg. sqft.
•                              15                     Stephanie Martens
Better Homes and Gardens Real Estate Gary Greene","$ 450,000",7,Stephanie Martens,Better Homes and Gardens Real Estate Gary Greene,lakewood oaks estates
"13618 Pegasus Road
4 bed • 3 baths & 1 halfs •     4,394 bldg. sqft.
•                              15                     Stephanie Martens
Better Homes and Gardens Real Estate Gary Greene","$ 450,000",7,Stephanie Martens,Better Homes and Gardens Real Estate Gary Greene,lakewood oaks estates
"13618 Pegasus Road
4 bed • 3 baths & 1 halfs •     4,394 bldg. sqft.
•                              15                     Stephanie Martens
Better Homes and Gardens Real Estate Gary Greene","$ 450,000",7,Stephanie Martens,Better Homes and Gardens Real Estate Gary Greene,lakewood oaks estates
"13618 Pegasus Road
4 bed • 3 baths & 1 halfs •     4,394 bldg. sqft.
•                              15                     Stephanie Martens
Better Homes and Gardens Real Estate Gary Greene","$ 450,000",7,Stephanie Martens,Better Homes and Gardens Real Estate Gary Greene,lakewood oaks estates
"13618 Pegasus Road
4 bed • 3 baths & 1 halfs •     4,394 bldg. sqft.
•                              15                     Stephanie Martens
Better Homes and Gardens Real Estate Gary Greene","$ 450,000",7,Stephanie Martens,Better Homes and Gardens Real Estate Gary Greene,lakewood oaks estates
"13618 Pegasus Road
4 bed • 3 baths & 1 halfs •     4,394 bldg. sqft.
•                              15                     Stephanie Martens
Better Homes and Gardens Real Estate Gary Greene","$ 450,000",7,Stephanie Martens,Better Homes and Gardens Real Estate Gary Greene,lakewood oaks estates
"11115 Riata Canyon Drive
3 bed • 2 baths  •     1,346 bldg. sqft.
•                              5                     Allison Fontana
Texas Realty Select","$ 179,900",1,Allison Fontana,Texas Realty Select,Riata West
"11115 Riata Canyon Drive
3 bed • 2 baths  •     1,346 bldg. sqft.
•                              5                     Allison Fontana
Texas Realty Select","$ 179,900",1,Allison Fontana,Texas Realty Select,Riata West
"11115 Riata Canyon Drive
3 bed • 2 baths  •     1,346 bldg. sqft.
•                              5                     Allison Fontana
Texas Realty Select","$ 179,900",1,Allison Fontana,Texas Realty Select,Riata West
"11115 Riata Canyon Drive
3 bed • 2 baths  •     1,346 bldg. sqft.
•                              5                     Allison Fontana
Texas Realty Select","$ 179,900",1,Allison Fontana,Texas Realty Select,Riata West
"11115 Riata Canyon Drive
3 bed • 2 baths  •     1,346 bldg. sqft.
•                              5                     Allison Fontana
Texas Realty Select","$ 179,900",1,Allison Fontana,Texas Realty Select,Riata West
"11115 Riata Canyon Drive
3 bed • 2 baths  •     1,346 bldg. sqft.
•                              5                     Allison Fontana
Texas Realty Select","$ 179,900",1,Allison Fontana,Texas Realty Select,Riata West
"11115 Riata Canyon Drive
3 bed • 2 baths  •     1,346 bldg. sqft.
•                              5                     Allison Fontana
Texas Realty Select","$ 179,900",1,Allison Fontana,Texas Realty Select,Riata West
"11115 Riata Canyon Drive
3 bed • 2 baths  •     1,346 bldg. sqft.
•                              5                     Allison Fontana
Texas Realty Select","$ 179,900",1,Allison Fontana,Texas Realty Select,Riata West
"16703 Saddle Ridge Pass
5 bed • 5 baths  •     5,594 bldg. sqft.
      •                                3 Acre(s)            Mark Bonning
Bonning Real Estate","$ 1,258,000",27,Mark Bonning,Bonning Real Estate,Saddle Ridge Estates
"16703 Saddle Ridge Pass
5 bed • 5 baths  •     5,594 bldg. sqft.
      •                                3 Acre(s)            Mark Bonning
Bonning Real Estate","$ 1,258,000",27,Mark Bonning,Bonning Real Estate,Saddle Ridge Estates
"16703 Saddle Ridge Pass
5 bed • 5 baths  •     5,594 bldg. sqft.
      •                                3 Acre(s)            Mark Bonning
Bonning Real Estate","$ 1,258,000",27,Mark Bonning,Bonning Real Estate,Saddle Ridge Estates
"16703 Saddle Ridge Pass
5 bed • 5 baths  •     5,594 bldg. sqft.
      •                                3 Acre(s)            Mark Bonning
Bonning Real Estate","$ 1,258,000",27,Mark Bonning,Bonning Real Estate,Saddle Ridge Estates
