zip,region
77050,Northeast
77338,Northeast
77032,Northeast
77032,Northeast
77039,Northeast
77032,Northeast
77396,Northeast
77429,Northwest
77068,Northwest
77037,Northeast
77070,Northwest
77429,Northwest
77429,Northwest
77040,Northwest
77040,Northwest
77088,Northwest
77018,Northwest
77080,Northwest
77080,Northwest
77015,Southeast
77547,Southeast
77074,Southwest
77562,Northeast
77530,Northeast
77505,Southeast
77571,Southeast
77089,Southeast
77092,Northwest
77093,Northeast
77562,Northeast
77433,Northwest
77090,Northwest
77429,Northwest
77503,Southeast
77505,Southeast